"SPECIES","SITE_ID","estimate","std.error","urb_variable","Best_Model","urb_trend","WIn","HSI","FMo_Average","range.size","temp.mean","temp.max","temp.sd","genzname","code_urban","urban_names","bms_id","country_code","Country.Name"
"Aglais io","ES-ZEBMS.ZER_BASQUE_22",-0.232627278461283,0.44077058432912,"sum_2000m","exponential",0.0053001509878846,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_24",0.479413666752355,0.436959522310103,"sum_2000m","exponential",0.00678567163277933,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_25",0.170559988688467,0.0756346022382926,"sum_2000m","exponential",0.00234077057066627,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_27",0.0107282029663471,0.268907370821459,"sum_2000m","linear",0,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_3",-0.0834797980061937,0.172215483345717,"sum_2000m","exponential",0.0111981415583768,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_4",0.416966491005524,0.17143524489511,"sum_2000m","exponential",0.00786898962184908,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",12,"LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_7",0.0274191435467986,0.0992422655021072,"sum_2000m","exponential",0.00486908686794717,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ES-ZEBMS.ZER_BASQUE_9",-0.198320380798487,0.293977345299746,"sum_2000m","exponential",0.0120589442724806,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-ZEBMS","ESP","Spain"
"Aglais io","ESBMS.223573",-0.104379338898643,0.179818642662075,"sum_2000m","exponential",0.0112523590845147,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ESBMS","ESP","Spain"
"Aglais io","ESBMS.223577",-0.125160837217221,0.0746702173476896,"sum_2000m","exponential",0.0122992987662777,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ESBMS","ESP","Spain"
"Aglais io","ESBMS.223859",-0.188502136958051,0.166897188938938,"sum_2000m","exponential",0.00948586848320433,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ESBMS","ESP","Spain"
"Aglais io","ESBMS.223865",-0.216510893135376,0.102136898902995,"sum_2000m","exponential",0.00654094735333399,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ESBMS","ESP","Spain"
"Aglais io","FIBMS.107",-0.025663151739658,0.0657672543167288,"sum_2000m","exponential",0.0174458328366747,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.232",0.144828650961764,0.217355400207684,"sum_2000m","exponential",0.00501171244656612,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.246",-0.0619189928490194,0.0877408160561825,"sum_2000m","exponential",0.0160892476731643,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.247",0.0710857840095529,0.282004872954064,"sum_2000m","exponential",0.0104778998611447,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.248",0.390840445794213,0.607959868105218,"sum_2000m","exponential",0.0115330185428264,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.249",0.111748676944614,0.169860057458269,"sum_2000m","exponential",0.00525839818683319,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.252",-0.165997810560364,0.346151121514624,"sum_2000m","exponential",0.00893664012799666,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",12,"LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.253",0.11508026620018,0.066726460964345,"sum_2000m","exponential",0.00679893863869633,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.255",0.122190584182865,0.149161459017689,"sum_2000m","exponential",0.00764283895561483,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.258",0.155662068587472,0.0769669981338756,"sum_2000m","exponential",0.00956694598536972,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",12,"LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.260",-0.0141014959276022,0.0785219485652555,"sum_2000m","exponential",0.00588277573558623,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.261",-0.0159933055389118,0.115800384536695,"sum_2000m","exponential",0.0141087132890689,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.262",0.122424303636,0.0940813355110483,"sum_2000m","exponential",0.00731454641497375,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.266",0.391950550135769,0.343349136627491,"sum_2000m","exponential",0.00457814305282547,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.267",0.112673972262254,0.35669224577523,"sum_2000m","exponential",0.00833334797324712,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",12,"LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.269",0.174460447231058,0.0841893581278629,"sum_2000m","exponential",0.0103072557947935,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",12,"LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.271",-0.11115719989628,0.0524635703567445,"sum_2000m","exponential",0.00592797109306038,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.274",0.0843808868127753,0.183098523240278,"sum_2000m","exponential",0.00267560649185993,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.280",-0.065532730871774,0.0261532803452031,"sum_2000m","exponential",0.0137394424088605,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",21,"SUBURBAN OR PERI-URBAN","FIBMS","FIN","Finland"
"Aglais io","FIBMS.284",-0.0589839704355601,0.0586148243457736,"sum_2000m","exponential",0.00555361297290986,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.285",-0.142410473363412,0.047079561970682,"sum_2000m","exponential",0.0113730023640283,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",21,"SUBURBAN OR PERI-URBAN","FIBMS","FIN","Finland"
"Aglais io","FIBMS.286",-0.116448518052865,0.0417293890145126,"sum_2000m","exponential",0.00872181986580751,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.288",-0.144979448606418,0.0492687601242264,"sum_2000m","exponential",0.00821007677726193,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.289",-0.187379233109405,0.158018974527848,"sum_2000m","exponential",0.00530380405044991,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.292",-0.140301722306273,0.218713865321805,"sum_2000m","exponential",0.00395296817658143,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.293",0.0766680804906577,0.0671865507084599,"sum_2000m","exponential",0.00403478375756047,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.294",0.0488297771327091,0.0592205852018935,"sum_2000m","exponential",0.00596854308191241,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.295",0.013858349871036,0.0869186768564025,"sum_2000m","exponential",0.00347607808685629,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.296",-0.0784051585688074,0.164930396888926,"sum_2000m","exponential",0.00648657517809292,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.33",0.0952905356066388,0.208489421496857,"sum_2000m","exponential",0.0142534692666118,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",12,"LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.51",0.0765329680875739,0.0724792882138333,"sum_2000m","exponential",0.0139095411001972,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",21,"SUBURBAN OR PERI-URBAN","FIBMS","FIN","Finland"
"Aglais io","FIBMS.55",-0.091307501581339,0.108474709436077,"sum_2000m","exponential",0.00533165266768639,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.56",-0.273581591538109,0.14102991089924,"sum_2000m","exponential",0.0110604448642204,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",12,"LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.57",-0.0260700897069018,0.0771876383551574,"sum_2000m","exponential",0.00699718466774968,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",12,"LOW DENSITY RURAL","FIBMS","FIN","Finland"
"Aglais io","FIBMS.58",0.172149620725364,0.0575380136219278,"sum_2000m","exponential",0.00265322881830723,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","FIBMS","FIN","Finland"
